short_description,description,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact
wants to access glossary,wants glossary hi please give update thank accept decline requests,1,4,1,7,46,3,4
access to tunnel,tunnel hello lead please enable resources by tunnel thank opportunities lead,1,4,1,7,26,3,4
subscriptions florin,hello please assign joined visual studio professional thank opportunities lead,1,5,15,7,32,3,4
wants to access it security and acceptable use policy,wants policy find answers baseline quiz accept decline requests,1,4,1,7,46,3,4
notification outage,electric tower si la ca electric director wednesday fwd electric electric client red si ne pot ii la site sec respect natural image removed by,1,6,22,7,32,3,4
notification network outage,tuesday pm client la tin se re transport date la minute care perturb rug la reconfirm,1,6,22,7,52,3,4
password reset for,hi having issues his unable his imperative he his he finish various he working help matter greatly appreciated best regards administrator ny,1,4,2,76,4,3,4
replace broken fuse area,replace broken fuse area dear please log assign replacing broken fuse area thank kind regards engineer,1,5,13,60,32,3,4
amp installer,amp installer dear installer amp pkg macs think useful had installer well please upload easy thanks kind regards engineer,1,4,15,7,38,3,4
oracle fusion services downtime notification,downtime hi please notify about event restarted once again weekend reserved window pm please approve thank pm downtime hi publisher monitoring loading database solution suggested restart reserved window operation pm reports module unavailable during specified period please notify about event attached find form please approve thank engineer,1,4,3,60,68,3,4
request for a height adjustable monitor stand,height adjustable monitor stand hello ask height adjustable monitor stand great help thank developer,1,5,13,7,32,3,4
laptop bag,bag hi please replace damaged bag best regards,1,5,13,7,32,3,4
user report,hello please provide report which contains users currently related require further details please hesitate thanks kind regards,1,5,15,88,32,3,4
modify incorrect user name ad correct format name surname com for all users,re licenses hi performing clean difficult especially since match ones due possibility choosing shorter version example vs hundred user please advise users others format ex please advise format unable filter based because thank,1,4,2,21,4,3,4
day wants to access resources,wants resources presentation accept decline requests,1,4,1,7,46,3,4
new,dear please log assign allocating monitor him thank kind regards engineer,1,5,13,7,32,3,4
single sign on configuration,single sign configuration dear single sign application hosted realized help generate files assistance helpful best regards developer,1,4,3,88,63,3,4
please access to to secure area,please secure area hi please secure area thank senior,1,11,39,91,73,3,4
include hardware network,include hardware hi please include hardware thank senior,1,4,1,7,26,3,4
urgent right accesses to folder,urgent right accesses folder hi think urgently writing rights myself thanks lot users library containers library caches signatures signature users library containers library caches signatures signature users library containers library caches signatures signature users library containers library caches signatures signature,1,4,1,7,46,3,4
new setup ad,re setup has assigned hi dear please ad information thanks engineer,1,4,2,7,4,3,4
new mailing,mailing hello please help create mailing which serve dedicated name members require additional information feel free kind regards analyst,1,4,2,7,36,3,4
windows,hello win os please arrange her upgrade log kind regards senior engineer mob zone,1,5,15,7,100,3,4
,contract execution work order dear please log file assign thank kind regards engineer re contract execution work order maybe whenever re ready re contract execution work order form out print each separately since kind regards engineer contract execution work order hi way please print off normally having text landscape view thanks contract execution work order contract execution work order hi please execute contract attached approved contract id thank,1,5,15,105,32,3,4
changing password for salary slips,changing salary slips dear had issue salary slips via separate purpose slips due change once months assistance changed changes required anymore issue slips going forward please log assign colleague he had done job thank kind regards country,1,4,2,76,36,3,4
monitor and laptop change and keyboard request,monitor change keyboard hello help monitor newer ones also integrated keyboard justification change nearly impossible run concurrent complex tasks perform daily activities timely manner slow seems lacks processor probably other parameters too monitor adjusted height order avoid working position bad spine according advice also keyboard order assure healthy working position besides feel eyes also suffer because both monitor resolution tried make got confused different instruction instructions seems contrasting please help advice sincerely developer,1,5,13,7,32,3,4
access to from client server,client hi please repository client code best regards tester,1,4,1,7,19,3,4
equipment borrowed,re hi please assign queue please return borrowed equipment after presentation finished thank engineer ext hi guys tomorrows presentation lap top additional things discussed video recorder pointer possible come second floor help testing problems mobile phone mention her phone problems thanks coordinator,1,5,13,7,32,3,4
oracle lieu time,lieu hi looks lieu entered allow enter lieu friday lieu saturday return flight where spent training,1,4,3,105,67,3,4
desk monitor,monitor hello please monitor thank kind regards,1,5,13,7,32,3,4
outstanding change approvals,wednesday pm re outstanding change approvals part process needs thanks surrey re outstanding change approvals attention originates hello part technical approvers sn he getting these mails thanks wednesday outstanding change approvals hello please advised received advise how proceed thanks kind regards analyst wednesday outstanding change approvals surrey re outstanding change approvals sd part process change across needs member regards surrey outstanding change approvals attention originates hello please advised change tasks assigned reference summary planned date task via rejection via updates installation pre production shared infrastructure link approve via reject via best regards ref msg please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,1,1,36,0,43,3,4
request for keeping the old laptop,keeping old dear currently old ask please accept keeping months more reasons asking work also thank lot best regards test lead,1,5,13,88,32,3,4
configuration adjustments,configuration adjustments dear found content created recently without notifying consequence haven added additionally files located disk instead disk which desirable content content content content content content actions relocate files add avoid future content creation wrong location change default path disk remember other type additionally created since please assign thank technical leader,1,6,22,21,95,3,4
new starter belgrade belgrade,tuesday pm february st dear please find attached starter forms interns move employment contract february st after finished internship thank kind regards administrator,1,4,2,94,40,3,4
access to meeting rooms,meeting rooms dear colleagues please calendars meeting rooms best regards,1,4,1,7,36,3,4
add to groups,add groups dear add ad groups mailbox best regards engineer,1,4,1,7,4,3,4
reset password for our clients and,clients expire days dear please updated credentials thank expire days hi kindly please regards fwd expire days hi please let thanks begin forwarded date expire days dear expire days order change please follow steps prerequisites disable device credentials close active connected by cable machine note also follow steps detailed press ctrl alt delete same pops change item enter format enter enter newly chosen then re enter again submit displaying has changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen then re enter again save connected note complete resources granted once connected by cable browse tick want change after logging enter format enter log enter enter newly chosen then re enter again change clients suppliers about expire please touch person then communicate back encounter issues hesitate by accessing yours please consider environment communication print views expressed individual except where specifically stated view subsidiaries addressed customers opinions advice contained subject relevant terms reserves right monitor communications networks notice intended solely named recipient contain privileged confidential information intended please notify immediately destroy must copy distribute take action reliance upon whilst efforts made safeguard cannot attachments virus free compatible accept liability respect viruses computer problems experienced important card details by,1,4,2,76,4,3,4
access for development project,hi please regards developer,1,4,1,7,19,3,4
enable access to the following reports,role hello please specialist role named specialist salary entities assign also once done please enable his reports details report ex details report benefits report role has assigned hello please based call thank best regards engineer role has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location center summary role additional comments requirements role hello please specialist role named specialist salary entities assign also once done please enable his reports details report ex details report benefits report let thank assign reference assignment summary role location center attachments image please link kind regards please ref msg,1,4,1,7,66,3,4
add to team,add dear please bellow print screen him member pm please add pm thanks,1,4,3,7,24,3,4
access,dear please provide charge facility benefits contracts thank head,1,4,2,7,10,3,4
equipment required,equipment required dear member travelling client premises period currently he which problem his duties his name please provide engineer prepare which mate during his stay needs prepared by thanks,1,5,13,7,32,3,4
monitor cable request,monitor cable hello please provide monitor cable port monitor floor thank monitoring engineer,1,5,13,7,32,3,4
access to,re has assigned hi please hi please log assign deliver queue thank kind regards analyst,1,4,1,7,10,3,4
line manager change ad,re warning has assigned dear please change ad needed proceed configuration questions please let thank engineer,1,4,2,21,4,3,4
delete item from folder on sales marketing site,delete item folder site hi please delete overview location libraries shared resources templates ebb reason seems rights delete file which did expect thanks head,1,4,3,87,46,3,4
licenses,licenses hi guys attached users licenses assigned order migration properly proceed each license assigned otherwise mailbox presume way assign bulk by please let incorrect please keep loop whole moving forward advised by while back please ensure receive license thank,1,5,15,7,32,3,4
oracle report employee salaries,report salaries dear help obtaining information entire discipline name gross salary salary tax exemption date doe doe assume report obtained please let more details about thank kind regards head,1,4,3,7,67,3,4
,va moment care se pare la care la facility blvd rd floor,1,4,1,88,73,3,4
suspicious,suspicious hi please best regards monitoring analyst wednesday suspicious hi received unexpected suspicious please find attached take appropriate actions thank senior engineer,1,4,3,7,89,3,4
new starter belgrade belgrade,february st dear please find attached starter forms interns move employment contract february st after finished internship thank kind regards administrator,1,4,2,94,40,3,4
password reset external account,release please update confluence she key please perform update priority thanks tuesday pm re release hi guys please help restore her confluence thanks tuesday re release help user name confluence site think user name log won vice president product ave mobile pm hull marsh pm release hello everyone release planned pm channels profile tool release notes please let somehow impact best regards engineer information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,1,4,2,76,4,3,4
external account password reset,urgent expire hey guys client expiring days please provide prior expiration please treat urgent,1,4,2,76,4,3,4
mailbox for icon project,mailbox icon dear please create per details name members thanks lead,1,4,2,7,36,3,4
access to network,hi please provide user let more information required thank,1,4,1,7,4,3,4
access to network through wireless,hi networks both wireless wired please add has number thank registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,1,6,1,7,95,3,4
install request,install dear please ticked based installing thank engineer,1,5,15,105,70,3,4
access card found to be reactivated,card lost dear fortunately false alarm found cart problem please reactivate thank apologies inconvenience regards tuesday card lost importance high dear morning find card lost double find about meanwhile please cancel card thank,1,7,1,21,73,3,4
admin rights,hi play around provide credentials developer,1,4,1,7,88,3,4
access to induction and integration materials,induction materials dear please provide location induction materials view thanks kind regards,1,4,1,7,46,3,4
password reset,hi please thanks best regards,1,4,2,76,4,3,4
changes required bod outlook,changes required dear please assist changes needed done add thank head testing,1,4,2,21,4,3,4
new user,user hi please create user thank best regards engineer,1,4,1,7,19,3,4
re missing for oracle,re hi please assign person best regards analyst tuesday pm hello question related member forgot log his st december advice how add order submitted approved november which had include st december approved by pm please let more information thanks officer,1,4,2,21,67,3,4
new report,addition report has assigned queue hi please rise assign thanks best regards engineer,1,4,2,7,66,3,4
oracle,hello help please changes editing updates best regards senior tester,1,4,2,21,67,3,4
error,error hi tried delete error occurred please attached please advise thank best regards user acceptance test tem tv,1,4,2,21,67,3,4
new purchase po,purchase po dear purchased fond alb fond alb fond alb fond please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
please can be added to sales and all sales groups,please added groups hi please added groups please thanks senior,1,4,1,7,4,3,4
account for,hi please create thank head,1,4,2,7,51,3,4
pas access,dear please provide her also please change rights want replace needed thank testing discipline lead,1,4,1,7,70,3,4
charts tool license your recommendation needed,charts tool license recommendation needed dear colleagues calling advice product owner metrics application tool developed internally by agile teams keeping track productivity speed etc application allows both collection analysis metrics defined metrics built application analysis built charts bars etc currently making lift application preparing more customized approach based user needs matter want also allow user define own metrics choose type chart representation investigated few free examples public index cost involving ones please let licenses available charts mentioned ones others recommend require additional information further clarification regarding topic providing recommendation please let thank measurements,1,4,3,88,32,3,4
,re change owner has assigned hi per conversation regarding please specify information title code name status closed type please note information codes please requests assign queue thanks engineer,1,4,2,7,46,3,4
mail,exclusive empowering top hi reported these got confirmation fixed received please again make stops thank tuesday exclusive empowering top dear interested joining edition popular unleashing amsterdam two days engaging learning studies focusing key trends march discuss success stories areas strategy product expert led presentations speed sessions brainstorming useful networking opportunity join rated format unique exclusive structured maximize learning networking because about experience meet senior strategy leaders pinpoint where corporate belongs how excel cross sector learning find out how adopted by other sectors add learn other industries vertical sectors save money concentrated industry knowledge two intensive days studies listen studies outlining pros cons existing learn peers build relationships break out networking sessions discussion groups industry discussions key issues affect networking drinks reinvigorate fresh ideas meet industry pioneers discover how deliver breakthrough results interactive mobile event app take part event activities speaker include director platform ventures senior director den vertical front vice president content information european commission adviser director strategy regional digital innovations head front director product director venturing vice president excellence head commercial director chief officer save children head senior hague professor networks more information event increase visibility during event days best packages available discounted rates packages price speaking package chairing package exhibition package face face meetings face face meetings lunch vendor pass app sponsor cocktail dinner speaking exhibition speaking face face meetings chairing exhibition please let packages interested special discount code steps unleashing exclusive empowering effective event cross industry leading speakers senior level attendees corporate companies solution providers please let questions assistance registering by answering kind regards video image removed by want receive future events opt out image removed by based software,1,4,3,21,89,3,4
rebuild,telephony tickets hi please tickets touch topic filter action based attached ranges discussed today call representative rebuild order allow assigned extensions reachable related thank,1,6,22,21,96,3,4
notification testing and of the battery from rack on th floor,testing battery rack floor hello please advised change testing battery rack floor during devices down please inform users about down equipment rack kind regards technician,1,6,22,60,52,3,4
add to snow assignment,add snow assignment hello has replaced therefore please ask add him assignment same please add him again questions please let thanks kind regards,1,4,2,21,56,3,4
remove unused report from,unused report hello please rise assign assignment pm hello ore pm nope pm hello test pus si backlog engineer,1,4,2,87,6,3,4
access to new pas,dear please assign thank kind regards dear please provide colleague please provide same rights mine thank much best regards,1,4,2,7,70,3,4
public,public hi client ne currently working functionality which implies link client made available test environment order test public class communicate link relevant mobile ones therefore has connected thanks leader,1,6,22,7,95,3,4
access the area,area hi guys please help restricted area floor working pm thank much,1,4,1,7,73,3,4
access for,hi guys please give pm rights same permissions code picking starting next thank much,1,4,1,7,70,3,4
access via,via dear please he logging different user than possible him also option sign everyone make process he losing rights kind regards officer,1,4,2,21,70,3,4
new purchase po,purchase po dear purchased requested by keyboard please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
access to,hi forwarded element inside which thanks re velocity campaign hi please find video walks existing experience positioning chat help cheers head id image engineer velocity member id profile delivering exceptional agile execution model,1,4,1,7,7,3,4
wireless password,wireless hello wireless thanks developer,1,6,1,88,52,3,4
clicker needed,clicker needed hi clicker please pass session thursday thank much regards analyst ext,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased received items apple inch pro grey apple keyboard folio apple connector english inch apple pencil stylus inch pro inch pro updated include device under user name link please add allocation device thanks kind regards administrator,1,5,13,7,32,3,4
card de to be marked as available,card si ca card internship,1,4,3,21,73,3,4
access card for a new team member,re card member thank added thread engineer ext re card member hi thank prompt response name regards re card member dear please name enter name control please log assign queue thank engineer ext card member dear please allocate card member number available card please proceed thank,1,4,1,7,73,3,4
servers monitoring request,monitoring hello please assist checking depth activity production environments two consecutive days pm application slow due overloading want understand source issue by application activity other factors involved quite urgent order lose actual logs avoid issue happening again thank best regards senior engineer,1,6,22,88,95,3,4
security permissions for people data analysis folder,re hi also myself thanks head tuesday pm dear created folder named analysis path analysis please folder folder entire parent folder let thank,1,4,15,21,38,3,4
device alert notification printer alert tray has a problem printer,device printer tray has problem printer details malfunction tray tray copier details malfunction tray tray scanner ready details model name device name comment host name printer name print name file name printer name zone name name computer name share name device printer printer notified,1,5,22,60,74,3,4
add to open,hi please assist please handle possible thanks,1,4,3,7,26,3,4
remove shared mailbox windows deployment com,mailbox deletion hello dear please mailbox cannot client also please starting close delete mailbox thank kind regards infrastructure ext,1,4,2,87,36,3,4
new monitor request,monitor hi moved tower left monitor monitor same had best regards developer,1,5,13,7,32,3,4
career change for,exact la la mine care ii tool task application failed errors change change layout column two columns two columns narrow left two columns narrow right columns columns narrow sides two columns wide area two columns wide area collapse details expand details details view actions menu assignee assigned date task number collapse recommended actions expand recommended actions recommended actions view actions menu collapse description expand description description view actions menu transaction id requestor task id task title change task status composite name composite instance id error task completed task outcome cannot empty module identifier collapse related links expand related links related links view actions menu collapse comments comments display expand history history updated by action performed assignee updated assigned completed si va,1,4,2,21,67,3,4
new purchase po,purchase po dear purchased requested by professional backpack please log allocation please log retrieve old device xxx after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
role access,role hello please specialist role named specialist salary entities assign also once done please enable his reports details report ex details report benefits report let thank,1,4,2,7,67,3,4
update,update hello appears her please move thank testing discipline lead,1,4,2,21,24,3,4
access to,tuesday pm re other resources thank,1,4,1,7,4,3,4
access,great hi please mailbox thank,1,4,1,7,36,3,4
transfer request access card enabling,pm transfer hi please find attached transfer form transfer thank regards administrator,1,7,1,21,73,3,4
azure practice,azure hello please add owner azure moment owner thanks,1,4,2,21,36,3,4
request access to secured area tower,secured area tower dear please secured area tower thank regards officer,1,7,1,7,73,3,4
investigate account used for,investigate hello please kindly investigate which accounts by app based activity say needed while investigating taken consideration shared accounts mailbox where users connect own kept disabled contacted further needed best regards senior engineer ext zone,1,4,2,88,51,3,4
creating new mailing list for mobile testing,creating mailing mobile testing hi recently started mobile testing responsible order easily inform interested colleagues mailing thank best regards senior tester,1,4,2,7,36,3,4
new assignment service now ms co operations managers,hello please help creating called owner membership assignment snow same name membership individuals thanks let more details re hi call let done replicate same thing thanks leader friday pm re hey wait sec decide name according structure asking because themselves together other future colleagues areas these explanatory thanks re hi please create called include thanks kind regards leader friday pm re hi members ownership also suggest creating contain individuals having oms ease thanks hi please provide complete coordinators teams create assignment thanks kind regards leader,1,4,2,7,43,3,4
live access to project for metrics,re metrics hi dear please assist thanks tuesday metrics administrators hello metrics view planning initiative thank by logo,1,4,1,7,51,3,4
oracle line management change,change hi please change myself thank senior,1,4,3,21,67,3,4
relocation help,relocation help hello recently got involved implicitly moved location moved requesting monitor keyboard mice pair headphones microphone because stranded floor within mercury thank,1,5,13,7,32,3,4
create a shared folder dedicated to within our bid folders,item code please additional comment added dear please help creating shared folder seems connected app needs separate right thank engineer pm item code please additional comment added comment added by requester requested item assigned view latest additional comment additional comments visible hi please help create shared folder dedicated within bid folders thanks users library containers library caches signatures signature users library containers library caches signatures signature users library containers library caches signatures signature users library containers library caches signatures signature details reference number requested closed complete requested summary code please description code please hi please help creating code thanks best regards ref msg,1,4,2,7,38,3,4
access network,hello networks both wireless wire please add has number thank developer,1,6,1,7,4,3,4
access to and other resources for project,other resources hi please provide resources thank developer,1,4,1,7,19,3,4
set am as administrator on users,administrator users hi administrator users ad thank senior engineer,1,4,2,21,4,3,4
client access pas for,client hi client currently managing thanks head mob,1,4,2,7,70,3,4
el new employees have no access,el employees dear every prepare report related free work both offices information el big problem deliver exactly dates lot employees el even joined more than weeks provide accesses employees more quickly looking possible thank regards planning officer,1,4,3,88,63,3,4
account com,re hello please create he confluence thank great kind regards analyst tuesday pm hi setup possible he going assisting pipe stream director water street floor ny dial ext fax information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,1,4,2,7,4,3,4
accessing from outside network,accessing hello noticed application resolve public application build please advice regards,1,6,22,21,95,3,4
please add a record local called,please add record called hi please add record called within want work best regards test consultant logo logo,1,6,22,7,95,3,4
types necessary amendments,types amendments hi please best regards analyst tuesday types amendments hi please help seems type amended correctly extracted report let questions thanks mobility officer ext re doc report issues la ulterior intern care si tier short term consultant re doc report issues pare tip ca name unit entity country number type valid country issued date date colombia mobility officer ext,1,4,3,21,67,3,4
career change,change hi please best regards analyst tuesday change hello recent change accumulations more benefit her her agreed her make also visible please make changes best regards test lead,1,4,2,21,67,3,4
automation test mail,automation test hello contacting regarding test received side ago seems application user please find user details test test required please user needed side thank best regards tester,1,4,2,76,4,3,4
new purchase po,purchase po dear purchased toner black ink toner cyan toner magenta toner yellow toner black toner cyan ink toner magenta ink toner yellow ink black toner black toner please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
,dear please help raising thanks,1,4,2,7,36,3,4
forgot access card,tuesday forgot card hello please card today area visitors cards area borrowed thank best regards analyst ext,1,7,1,7,73,3,4
add on request has requested post for,add has requested post hi please thank engineer pm add has requested post hello users has requested install post instance said needed trigger build pull cheers marketplace received because turned marketplace manage marketplace,1,4,1,7,19,3,4
service now access for,hello please advised has logged side hold until further notice please log let user has created thanks best regards analyst tuesday hi please his level kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,1,4,1,7,43,3,4
time booking,booking hi please help extending date continue booking effort against thread thank pm re booking probably originally calendar hopefully extend investigate how done thanks booking booked experienced starting allocating code offer engagements rejected active task booking until feasible date task extended sorry bother,1,4,2,21,66,3,4
remove people from approval list,hello please advised logged side kindly log side let requested users out checklist thanks best regards analyst tuesday hi please persons checklist kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,1,4,1,87,43,3,4
admin rights for for,rights dear please provide rights he supporting part helping editing creating pages benefits learning location grateful communications,1,4,1,7,46,3,4
all access to service reports,reports hi guys please ensure has location exact provided other folders libraries site remain without modifications thank,1,4,1,21,46,3,4
change ms call closure surveys sending hour for and,change call closure surveys hello order increase call closure response rate pilot change monitor results survey clients reminders after since initial survey invite please note change implemented clients conditions remain same advise continue same after has finished revert changes greatly appreciate proceed weeks let require further information side best regards care,1,4,3,21,43,3,4
increase mailbox,mailbox almost hi super powers thank officer mailbox almost importance high mailbox almost mb mb size maximum size please reduce mailbox size delete items mailbox empty deleted items folder,1,4,2,21,36,3,4
need help setting up on,help setting hello please log she needs help setting her needs assigned thank profile,1,4,3,7,58,3,4
need to change outlook view to original settings,change view please log she needs help resetting her view needs assigned thank profile,1,4,3,7,36,3,4
new starter,hi please fill enclosed form colleague administration officer,1,4,3,7,96,3,4
access,tuesday hi please his level kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,1,4,1,94,43,3,4
visual studio license,re visual studio license hi please help visual studio license thank sincerely visual studio license hello updates issue license vs professional thank senior developer thursday pm visual studio license hello please provide license visual studio user thank senior developer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts,1,5,15,7,32,3,4
approval list,tuesday hi please persons checklist kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,1,4,2,21,43,3,4
temporary instances for service restore exercise,instances restore exercise hi please provide location specs similar instances cores storage after fresh install required take snapshots both instances hesitate clarifications thanks senior engineer cell voice,1,6,22,7,95,3,4
wants to access testing,wants testing please thank accept decline requests,1,4,1,7,46,3,4
new folder,folder hi please help create shared folder dedicated within bid folders thanks users library containers library caches signatures signature users library containers library caches signatures signature users library containers library caches signatures signature users library containers library caches signatures signature,1,4,2,7,46,3,4
change end date,re hi please note date february please ensure his terminated cob thanks mobility officer december re thanks kind regards december re hi thank confirming updated kind regards tuesday december pm re hi contract has extended march please amendments made thanks kind regards october re thanks kind regards october re hi completion kind regards friday october pm hi please add contractor name job title consultant date october date friday december location entity kind regards,1,4,2,21,4,3,4
server for team,hello please advised edition remote role installed by rd party subcontractor connect currently remote licensing configured allow instant per device please advised possibility increase number more instant please log assign thank best regards senior engineer pm re has assigned hi please add more licenses thanks pm re has assigned hello let currently configured allow per device initial configuration order increase number licenses allow more separate logged order approvals please si log providing remote license increasing number thank best regards senior engineer,1,6,2,7,95,3,4
wants to access shareable content guidelines and tips,wants shareable content guidelines tips please user accept decline requests,1,4,1,7,46,3,4
laptop replacement,replacement hi currently years old battery dramatically reduced also quite heavy almost client site lighter options refreshing thanks senior architect,1,5,13,7,32,3,4
backups for service restore exercise,backups restore exercise hi restore latest backups files program files database backup important backups copy instances by myself validate scenario restoring existing backups hesitate questions regards senior engineer cell voice,1,4,22,7,95,3,4
the main menu springboards,main menu springboards hi setup springboard main dashboard few icons dashboards example how action share setup customized main menu item dashboard links myself create permission please host mins session work customization setup regards,1,4,2,105,68,3,4
changes oracle,re which pm hi please take myself remember made similar adjustment recently where adjusted certain expenditure items followed rules let further information please assign thanks re which pm thanks please make change which pm currently pm table charged against these suggest change rule charged these approved let agree thanks,1,4,2,21,66,3,4
clients to add,re clients add hi thank re doing fine well clients added visible tomorrow hi please log thank kind regards analyst clients add hi well writing kind add clients client name client marathon client name icon client tuition st rd kingdom thank help kind regards mobility officer ext,1,4,2,7,40,3,4
new purchase po,purchase po dear purchased tv black tv tv black tv please log allocation kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased requested by mouse sculpt mobile wireless rack please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
change name,change name hi please change name thank upcoming vacation,1,4,2,21,36,3,4
new purchase po,purchase po dear purchased please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased pro retina intel plus graphics kb item found please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
firth wants to access testing discipline,wants testing discipline hi please accept decline requests,1,4,1,7,46,3,4
delete time card,re almost card issue input needed resolved thank please delete card because holiday by mistake forgot code thank sorry technician,1,4,2,87,67,3,4
board,board hello please add individuals black regards,1,4,1,7,51,3,4
re send report to another user,re report user hi help hi please assign thank best regards engineer pm report user hi share reports created somebody moment unable find location shared folders where copy report other person copy si way br,1,4,3,105,66,3,4
new purchase po retrieve,purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receipt number item needed processed receive old device take off user name kind regards administrator,1,5,13,87,32,3,4
new delivery,hello received item lite id please advise please log thank engineer,1,5,13,7,32,3,4
leaver centre,leaver form leave date location centre hello leaver form has filled by name leaving date location centre ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,1,5,1,51,32,3,4
new pas unclear costs for project,unclear costs hello please let source attached costs december kind regards discipline lead,1,4,2,88,70,3,4
device recovery report paper at internal path,device recovery report path printer ready details copier ready details scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified,1,5,13,60,74,3,4
new staff to be added for,added hello please joiners added thank,1,4,2,7,70,3,4
notification change switch upgrade,change switch upgrade hi since change nearing kindly ask please out users expect outage during change period thank best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,1,6,22,60,52,3,4
new starter republic of macedonia kale building,starter form induction hi please assist completion attached return form empty part thank,1,4,2,94,40,3,4
,hello please give thank,1,4,2,7,10,3,4
second floor assign extension pin allocate extension to meeting room,re second floor assign extension pin has assigned hello please give extension number second floor order best regards senior engineer,1,4,2,7,87,3,4
access mills,hi had training unable please help best regards specialist users library containers library caches signatures signature,1,4,1,7,10,3,4
mailbox,mailbox hello please provide mailbox thank kind regards,1,4,1,7,36,3,4
security request,dear please create bellow assignment groups well lists queue owner add snow assignment well thanks kind regards,1,4,2,7,36,3,4
reserve for the server en net,reserve hi please reserve prevent changing after reboot down thanks best regards engineer,1,6,3,7,95,3,4
please access to wireless network,needs environment via wired has granted wireless approved by,1,5,1,7,52,3,4
access,hi please involved bid lead regards lead,1,4,2,7,10,3,4
wants to access account documentation,wants documentation upload proof taking mandatory trainings accept decline requests,1,4,1,7,46,3,4
new purchase po,purchase po dear purchased lite updated include devices under user name please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
bucharest replacement for the protection case screen protection foil for phone,replacement protection screen protection foil phone hello replacement protection screen protection foil phone old broken thank head,1,5,13,7,32,3,4
not generated because of user being inactive,please investigation seems records were because user locked out opened order investigate possibility avoid issues raised by locked users reach,1,4,3,7,56,3,4
performance testing environment,performance testing environment hi proof concept performance testing environment machines configured run stress testing session where reasons cannot machines machines machines never mode static each important once machines how connect machines remote rights install run rights least user port port since running remotely ports after configurations done want rack floor by mobile hive owner his possible want connected cables rack best regards test consultant logo logo,1,5,13,7,32,3,4
