,text,label,Emotions,Emotions_Label,cluster
119,as a vaccinated person i wear a mask not only to protect myself a little bit more but also to help reinforce the idea that it is normal so few people wear a mask in my community i am concerned that those who need to will not because they do not want to stand out reestablishing the norm of mask wearing willl be especially important this fall at the rural university where i work i imagine that many students will not have had the vaccine i anticipate that we will have many cases of the delta variant which will disrupt our plans to return to normal,vaccination,"[{'label': 'caring', 'score': 0.7588532567024231}]",caring,0
120,intend to patronize only those businesses that require covid prevention for all employees vaccination for those without accepted medical/religious excuses and masks for those who refuse vaccination this is a public health emergency not a time to debate personal privacy with republicans who are busy denying women their right to privacy when making personal health decisions on pregnancy pregnancy however is not a highly contagious disease that can be spread to many others enough of this both sides nonsense,vaccination,"[{'label': 'annoyance', 'score': 0.7837442755699158}]",annoyance,0
121,enough of selfishness antivaxers already i wear a mask for one reason and one reason only to continue protecting myself i feel we still do not have a good understanding of the risks of the various variants and there no reason to immediately disregard masks even though vaccinated but do i care what happens to those who recklessly chose not to get vaccinated absolutely not,vaccination,"[{'label': 'realization', 'score': 0.4117639362812042}]",realization,0
122,wonder whether the vaccinehesitant people would have avoided the smallpox or polio vaccines too,vaccination,"[{'label': 'surprise', 'score': 0.9776952862739563}]",surprise,0
123,big brother no companies requiring vaccinations are simply choosing to operate in their selfinterest as is their right employees and customers also have the right to work/shop elsewhere in a free country preservation of the freedoms of individuals and companies is important,vaccination,"[{'label': 'approval', 'score': 0.9430888891220093}]",approval,0
124,how can a company that requires employees to get vaccinated be found to have invaded an employees privacy a worker is not entitled to hold a job in a private company and (unless constrained by a union contract) a private company can fire an employee at will at any time for any reason barring discrimination on the basis of race sex age or disability companies need to stand up for their employees and customers who have been vaccinated and do not want to risk exposure to covid,vaccination,"[{'label': 'curiosity', 'score': 0.7107272744178772}]",curiosity,0
125,all the readers say companies are justified in requiring the vaccine but this vaccine has not even been given final fda approval it is still under emergency use authorization only how much power should employers be allowed to have over us should we be required to take a booster boosters should we be required to mask forever to protect everyone else from their fear i thought we owned our bodies my company mandated it early on i am still angry about it especially since we are still wearing masks and getting tested but they own me,vaccination,"[{'label': 'anger', 'score': 0.9827447533607483}]",anger,0
126,the more unvaccinated people mingle with vaccinated people the faster the virus will mutate to overcome the vaccine that is how natural selection works you put selective pressure on an organism and it will evolve to overcome that pressure it is directed evolution therefore the unvaccinated are not just risking themselves their families and friends they are actively undermining the only effective weapon we have against this monster that has disrupted our lives and economy and killed over of us how is it responsible or acceptable for the rational people of this country to put up with this why does their right to be irrational irresponsible selfish and antisocial trump our right to live and be free it is beyond me i cannot for the life of me understand why we are willing to put up with it,vaccination,"[{'label': 'confusion', 'score': 0.5824556350708008}]",confusion,1
127,i fail to see why this is a delicate decision it is a simple tradeoff: your choices about yourself may be your business but you cannot endanger others that is why children have to be vaccinated against several diseases before they can go to school this is no different,vaccination,"[{'label': 'approval', 'score': 0.5719835162162781}]",approval,0
128,at this point in the pandemic if folks have chosen not to be vaccinated then they should not be admitted into a hospital if/when they get covid the rest of us who have done our part to protect fellow americans and are taxpayers should not get stuck paying any portion of their hospital bills because there is no fixing their level of selfishness and stupidity,vaccination,"[{'label': 'realization', 'score': 0.32992225885391235}]",realization,0
129,"it should not be left to businesses and industry to require vaccination
it should be a federal requirement for public safety
we have to have a drivers license and insurance to drive
we have to pay federal taxes and sales and property taxes (and a lot of those)
we have to pay for what ever we want (groceries gas cars etc)
we have to send our children to school of some kind and unless those kids are home schooled most states require those kids get a few vaccines we have to wear a seat belt follow speed limits and traffic signs (although some of us do not and people are killed)
do not drink and drive
we do not allow blind people to drive and the list of things we have to do goes on and on one (or two) vaccines during a serious pandemic should be another one exclusions for health reasons only
we are a country of rules and regulations and these keep us relatively healthy",vaccination,"[{'label': 'neutral', 'score': 0.9135555624961853}]",neutral,1
130,cannot this be turned the other way around what if i get sick because my coworker is not vaccinated or because my waitress is not will the company be liable for that i am all for privacy but we already lost so much time (and so many life ) wondering about those questions if people were responsible and able to understand that their liberty stops with the liberty of the others starts that would not even be an issue since it is not the case maybe we can act first with temporary rules and in the meanwhile think about the fairest way to handle this,vaccination,"[{'label': 'confusion', 'score': 0.7357500195503235}]",confusion,1
131,this is a wasted opportunity for companies to step up and help society by mandating the vaccines for their employees (with exceptions for legitimate medical reasons of course) there are already many precedents for arguably worse invasions of privacy in the corporate world including mandatory drug testing (ie urine tests) and intrusive personal background and credit checks during hiring in the short term unvaccinated employees prolong the pandemic and endanger not just themselves but their customers and coworkers as well on a broader level declining to take a free vaccine that has proved incredibly safe and effective in the midst of a deadly pandemic shows a staggering lack of good judgement if an airline attendant for example will not take this commonsense precaution to protect themselves and others how can i be sure they will make a better judgement call in the event of an inflight emergency employees are routinely fired for exhibiting poor judgement in other ways such as posting an offensive comment online or being caught on video doing something that reflects poorly on their employer vaccine denial seems like an equally valid way to filter out employees a company might not want anyway,vaccination,"[{'label': 'realization', 'score': 0.7642131447792053}]",realization,1
132,the vaccine mandate is about an individual not infecting their coworkers families and friends my two pfizer covid shots have returned my confidence in my own safety and allowed me to intermingle with my family after a year of isolation i am very grateful to the scientists who worked diligently and used their hard earned knowledge in a historic effort to save mankind from a horrific very deadly disease,vaccination,"[{'label': 'relief', 'score': 0.3895983397960663}]",relief,0
133,retired physician and pfizer vaccinated i will be masked while indoors a public access building far into the future ma is about %vaccinated but the delta variant and my lack of trust in my fellow beings make me cautious as in the picture i wear a medical mask under a three layer cloth mask,vaccination,"[{'label': 'fear', 'score': 0.6309939026832581}]",fear,0
134,if the lab rats did not pass the test inside a restauranti have no expectations to go back to the office send my kids to school go to a hotel the decision to set those expectations are mine you can be the lab rat after all is your choice,lockdown,"[{'label': 'neutral', 'score': 0.6068723797798157}]",neutral,0
135,there is zero evidence of vaccinated people spreading the virus how many people are getting reinfected i think they must be immune deficit and will not respond to the virus either i thought it was very rare,vaccination,"[{'label': 'neutral', 'score': 0.8571286797523499}]",neutral,0
136,fully vaccinated american here many of the extremist comments on this article are baffling and shocking requiring proof of vaccination before treating for covid wow demanding to know whether all employees have been vaccinated before you you will enter any business (or any building for that matter) that is ridiculous you want strangers personal health information good luck getting that did you know businesses hire new people all the time covid is not going away are you going to demand vaccine information all the time forever now what about booster vaccinations are you going to demand proof of boosters for previously vaccinated strangers the comments praising the big brother aspect of this are especially disturbing i have to wonder if there are professional trolls here egging people on to have extremist viewpoints,vaccination,"[{'label': 'annoyance', 'score': 0.5797075033187866}]",annoyance,1
137,science and data show that the vaccinated can neither get nor spread covid the data also show that delta is more akin to flu than the alpha in terms of hospitalizations ill go with science if mr harmon or the la health folks want me to go along with their non scientific approach its too late if you fear covid wear two masks and maybe better stay home but leave me out of it im going with the science,vaccination,"[{'label': 'neutral', 'score': 0.9618164300918579}]",neutral,0
138,i read the other day that vaccines may actually fuel an increase the virulence and transmittability of mutated viruses making it even more dangerous to those who are not vaccinated so the proposition that when you get vaccinated to protect those who are not or cannot be vaccinated is a very false proposition if you rationally stop and think this through is not this how evolution works that viruses not previously prevalent could be unleashed by stopping the spread of another type of virus this is why the scientists who say vaccines can stop covid spread maybe true but they do not go on to say more virulent viruses may take hold need to be questioned on these assertions they may actually be doing more harm than good by calling for vaccinations for all,vaccination,"[{'label': 'disapproval', 'score': 0.9673222899436951}]",disapproval,1
139,no done with it,,"[{'label': 'approval', 'score': 0.8552232980728149}]",approval,0
140,it is sad but tragically not surprising whatsoever how this serves as a staggering example of just how much americans of all generations cannot go without for the greater good and just how many of those same people lack the capacity for bigger picture thinking for me it is equatable to a huge building that rents stores being engulfed in flames ala the towering inferno or something and someone says to the firefighters attempting to put it out well you have got to let me in since i rent a store in there i need to make money then they go in and are consumed by smoke or burnt to death and people are surprised this happened some people never eat out for the majority of their lives because it is above all else a luxury more than a necessity go without the facts are not adaptable,lockdown,"[{'label': 'realization', 'score': 0.7325795292854309}]",realization,1
141,this article misses an important group: customers as a customer i prefer to deal with and patronize businesses that have vaccinated all their employees at the very least businesses should try reserving special times or special sections for those who are vaccinated like they have done for the elderly and immunocompromised in supermarkets during the pandemic people who are have medical exemptions can wear a mask and join the vaccinated group for example my family and i have business in another state and we are thinking of taking amtrak if amtrak had cars specially designated for the vaccinated or times that trains traveled with vaccinated passengers and vaccinated employees we would be more likely to use their service i predict that businesses which are able to get all their employees vaccinated or institute such special measures will survive attract more customers than those who do not,vaccination,"[{'label': 'neutral', 'score': 0.6170589327812195}]",neutral,1
142,big brother is an absurd characterization the public interest requires you to get the shot if you wont act in the public interest voluntarily you muat be compelled to do so the public interest in eradicating the pandemic takes precedence over any purported right not to take the vaccine,vaccination,"[{'label': 'annoyance', 'score': 0.7046456336975098}]",annoyance,0
143,why should i have to work with someone who refuses to be vaccinated for dubious reasons,vaccination,"[{'label': 'curiosity', 'score': 0.9924613833427429}]",curiosity,0
144,why has not this chaos happened to such an extreme degree in our peer countries leadership laws penalties fines and consequences societies cannot organize themselves for the greater good especially not a society that emphasizes individualism that is why we try to build strong institutions and elect competent leaders we can complain about those people all we want but without leadership consistency guidance and reliance on the experts at the highest levels we are going to have chaos and a long long road ahead which is what we have right now so vote make the change you want to see and wear a mask,masking and distancing,"[{'label': 'realization', 'score': 0.9728860855102539}]",realization,0
145,show me the real research that supports this until i see strong evidence this is nonsense,,"[{'label': 'curiosity', 'score': 0.7448135018348694}]",curiosity,0
146,unvaccinated worker(s) at a kentucky nursing home recently caused an outbreak that infected several fullyvaccinated residents and a few fullyvaccinated staff while the vaccine caused most of these infections to be asymptomatic or mild one fullyvaccinated resident died perhaps employers who are skittish about being sued should consider that lawsuits may equally come from fully vaccinated employees,vaccination,"[{'label': 'neutral', 'score': 0.8743711113929749}]",neutral,0
147,america is heading towards a dictatorship with the constitution and the bill of rights meaningless abraham lincoln predicted this which applies now i see a very dark cloud on our horizon and that dark cloud is coming from rome,,"[{'label': 'realization', 'score': 0.9507585167884827}]",realization,0
148,we are told that immunized people are protected from the delta variant so why the masks at this point those who are not vaccinated have chosen to take all the risks associated with covid including the delta variant so let them deal directly with the consequences of their own free choice,vaccination,"[{'label': 'curiosity', 'score': 0.8995528221130371}]",curiosity,0
149,i need to get some plumbing work done in my house my first requirement is that the plumber be covid vaccinated i do not want any unvaccinated persons coming into my home,vaccination,"[{'label': 'disapproval', 'score': 0.7840045690536499}]",disapproval,0
150,everyone in the comments is a huge baby just put the mask on when you go into a store or other indoor place is it really that big of a deal nobody is saying you need to stop going out to eat or any of the other precious activities you do get over yourselves,masking and distancing,"[{'label': 'caring', 'score': 0.8025432825088501}]",caring,0
151,delicate decision gee if we had facebook and twitter in the s the manufacture of iron lungs would have been a booming business,,"[{'label': 'neutral', 'score': 0.5569913387298584}]",neutral,0
152,keep eating and drinking in close indoor quarters america but please stop complaining about kids not being able to safely go to school cuz guess whatblames partially on you hope that burger was worth it,lockdown,"[{'label': 'caring', 'score': 0.8913446068763733}]",caring,0
153,humble humane empathetiic facts science and reality in service of a more perfect stable american union points towards private employers making a forced vaccination choice from the context and perspective of their people or their profits,vaccination,"[{'label': 'neutral', 'score': 0.5921583771705627}]",neutral,0
154,move the goal post when the facts change i change my mind what do you do sir the new variant changes the facts,,"[{'label': 'curiosity', 'score': 0.6594809293746948}]",curiosity,0
155,it is nyc a densely populated place where we are surrounded by an unknown number of antivaxxers hoaxbelievers and people lying about their vaccination status soon we will be inundated with tourists bringing interesting variants here from different parts of the world you can bet your last dollar that i will wear a mask every time i leave my home why would i take a chance now i expect to be wearing a mask for *at least* another months,vaccination,"[{'label': 'curiosity', 'score': 0.9066334366798401}]",curiosity,0
156,the cdc made a very hasty decision regarding masks there was no reason to drop mask wearing indoors in public spaces when it is impossible to tell who is and who is not vaccinated it has given the unvaccinated a license to stop wearing a mask and yet not get vaccinated my experience has been that more people in my area continue wearing masks than not but then nm was a state with an early mask mandate and it may be that people are just used to wearing a mask now i know i have no intention of giving up my kf in indoor spaces anytime soon possibly forever throughout the vast majority of the pandemic weve been on our own when it comes to protection masks are not burdensome and are a prudent choice it is still not known how long vaccination protection lasts its not known if the vaccinated spread the virus or not it is not known if a vaccinated person who gets a mild or asymptomatic case can become a long hauler or not there are just too many unknowns im of the mindset that i dont care if others want to pretend the pandemic is completely behind us i dont believe it is and im going to continue to act accordingly no matter what others choose to do,vaccination,"[{'label': 'confusion', 'score': 0.9767183661460876}]",confusion,1
157,if people choose to endanger themselves that is one thing when then choose to endanger others it is a different matter people who do not vaccinate against covid provide a reservoir of the virus that can drive future infections and ensure the virus is always with us viral spread from this reservoir also enables viral mutations to occur leading to new variants these new viral variants may be more virulent and may not succumb to vaccines developed for older variants in order to protect the population as a whole steps need to be taken if we can insist on insurance for all drivers the wearing of wearing safety belts fines for texting while driving designated nonsmoking areas higher premiums for smokers or those frequently involved in accidents then we can bring similar tools into play for covid for example vaccination resisters could face higher medical insurance premiums banning from the workplace or denial of access to stores and public places enforced by fines resisters would still be free to choose to avoid vaccination but they would not be insulated from the costs of their choice they could not selfishly force others carry the burden of their choice,vaccination,"[{'label': 'neutral', 'score': 0.9828273057937622}]",neutral,1
158,employees need to stop working in restaurants where customers are behaving badly if their employers will do nothing to enforce rules and protect them they need to all walk off except many have no other resources one thing that should be learned from the pandemic is the importance of education and becoming qualified to do more than work at a restaurant shame on the customers who have no regard for other customers or the employees shame on the restaurant owners for doing anything other than take out,lockdown,"[{'label': 'disgust', 'score': 0.6544865965843201}]",disgust,0
159,"religious folks might invoke areligious freedom in not being vaccinated but that harkens back to when folks believed religion more so than science
you can follow your religion but if it is a safety issue for other folks then you should be able to be excluded why is alright from someones religion choice to put another person in danger",vaccination,"[{'label': 'neutral', 'score': 0.48890918493270874}]",neutral,0
160,they could be held liable for any sort of adverse effects that might happen a year or two down the road if there indeed an issue with rna vaccines we would all be in big trouble however there is no known conceptual reason which that should be the case so i did not even hesitate for a splitsecond,vaccination,"[{'label': 'realization', 'score': 0.5475127696990967}]",realization,0
161,wear a mask in stores to show your consideration for the people who work there dont make them guess who is vaccinated and who is dishonest these employees often have children at home who are too young to be inoculated this is especially true when you work closely with associates such as at salons shoe stores and post offices,masking and distancing,"[{'label': 'neutral', 'score': 0.8298118710517883}]",neutral,0
162,the problem with higher insurance premiums as an incentive for the unvaccinated to act responsibly is that a lot of these people are likely fine going uninsured because they never get sick and bad things only happen to other people,vaccination,"[{'label': 'disappointment', 'score': 0.7990513443946838}]",disappointment,0
163,krispy kreme was way a head of the game free donuts to anyone with proof a vaccine,vaccination,"[{'label': 'excitement', 'score': 0.38703566789627075}]",excitement,0
164,lets not forget most americans will have their employers health plan pay for the vaccine,vaccination,"[{'label': 'neutral', 'score': 0.922964334487915}]",neutral,0
165,corporations and health privacy in the us how about we start by outlawing drug testing requirements for jobs that in no way impact public safety: bagging groceries waiting tables,,"[{'label': 'neutral', 'score': 0.9008686542510986}]",neutral,0
166,my company offers hours pto so employees can get each shot,vaccination,"[{'label': 'neutral', 'score': 0.9941781759262085}]",neutral,0
167,my company has been successfully operating in work from home mode for over a year one potential strategy for us could be to require the vaccination for returning to the office but allowing those who object to getting the vaccine to continue working remotely the article briefly touches on the fact that the covid vaccines have emergency approval thus from from the usda i wonder how the legal issues shift if the vaccines get full approval (like the ones most of our kids are required to have in order to attend school),vaccination,"[{'label': 'surprise', 'score': 0.7581920027732849}]",surprise,1
168,as is often the case with much (not all) of the new york times reporting on covid the good news news that totally undermines the panic and negativity of the headline is buried towards the end of the article: several studies have shown that while current vaccines are effective against delta they are slightly less so than against most other variants for the authors to ominously frame a piece around the delta variant using language like worrisome nervous concerned fearsome when by the authors own acknowledgment the risk posed to vaccinated individuals is apparently only slightly less than what vaccinated individuals face with other variants is irresponsible and credibilitydamaging reporting reminds me of the alarmism that we saw earlier this year in much of the times reporting on the south africa variant where certain authors wrote about concerns that some experts had about that worrisome variant forecasting a doomsday scenario that never materialized maybe this kind of fearinducing writing on variants will just have to keep happening in cycles there is a whipping up of concern and then a quiet petering out when the actual data do not bear out the overhyped fear,vaccination,"[{'label': 'fear', 'score': 0.9142459630966187}]",fear,1
169,the delta variant is at its peak in the uk daily deaths have never passed at the peak of the pandemic it was the nation is mostly open and vaccination rates are similar to the us i am begging pleading with the nyt and other media to put the delta panic into perspective if you are in a wellvaccinated state you do not need to go into reverse on covid restrictions,vaccination,"[{'label': 'caring', 'score': 0.7208544611930847}]",caring,0
170,owning an essential business and having had covid i mandated the vaccine for all of the employees working at my company the logistics are not that complicated i had one of the staff schedule all of the appointments during work hours with a local pharmacy that then confirmed back that the employees had actually received the shot one employee was reluctant because of the jj issue but when it was explained that he would be receiving moderna and was not a woman between and he went also one person was given a medical exemption until their doctor confirmed their ability to be vaccinated they have also been vaccinated three people had side effects that caused them to miss the following day but everyone is fine beyond the public health issues which are critical from a business perspective it is better to lose an employee for a couple of hours or a day because of vaccinations than for two weeks (or forever) because of covid the virus is insidious and the effects of it can be long lasting the employees have seen the impact of covid on some of their coworkers and their neighbors in the area and were grateful that the effort was made to protect them if it is presented properly the employees will get the vaccination for their self interest,vaccination,"[{'label': 'gratitude', 'score': 0.4701460897922516}]",gratitude,1
171,i fwent to england for vacation recently with my family we had a wonderful time including eating out in my mind we should take risks as long they are reasonable minimizing deaths at all cost is a fools errand,lockdown,"[{'label': 'joy', 'score': 0.935100793838501}]",joy,0
172,i mean i suppose it comes down to what the goals are does not it is the goal to have absolutely zero spread ever if so we had have to gird ourselves to the idea of permanent masking obviously that is unrealistic and a slippery slope is the goal to maintain adequate hospital beds etc to care for those who have the most serious reactions to the virus as was the rationale so many months ago well have we done that yet i would like more reporting that gives us this information we need a very clear explanation of just what we are trying to do here,masking and distancing,"[{'label': 'curiosity', 'score': 0.9944044351577759}]",curiosity,1
173,someone who gets the vaccine poses less of a medical and financial risk much like someone who doesnt smoke charge those who dont get the vaccine higher premiums just like you do smokers its simple,vaccination,"[{'label': 'neutral', 'score': 0.533866286277771}]",neutral,0
174,"either vaccines work or they dont if ive been vaccinated how am i contagious if being vaccinated doesnt change my risk of being contagious and infected then why did i let pfizer shoot chemicals into my body measles is a highly infectious virus spread by respiratory droplets ive been vaccinated for it (twice actually but thats another story) and am not required to wear a mask to prevent me from magically carrying spreading or being infected by measles so why am i supposed to wear a mask because of covid
im vaccinated and that means i cant carry it or catch it if thats not what being vaccinated means then why are we getting vaccinated",vaccination,"[{'label': 'confusion', 'score': 0.5320758819580078}]",confusion,0
175,wait until the company health insurance provider refuses to cover covid infection because the company did not provide adequate protection or they rule it to be a preexisting condition,vaccination,"[{'label': 'neutral', 'score': 0.9961602687835693}]",neutral,0
176,since it is clearly not safe to hang out at a bar or inside a restaurant why does my daughter have to teach a full class of nd grade english language learners in long island they will be in her classroom for breakfast and lunch besides all day learning they will not be six feet apart how long will it take to spread to the children their families and my daughter opening schools right now clearly makes no sense,lockdown,"[{'label': 'realization', 'score': 0.5074902176856995}]",realization,0
177,it is funny how people who insist they need to keep an arsenal of weaponry in their home and on their person for their protection now want to scoff at those of us who will choose to continue wearing a thin piece of fabric over our faces to keep us from getting sick,masking and distancing,"[{'label': 'amusement', 'score': 0.9825068116188049}]",amusement,0
178,why were the job numbers so low today maybe one reason is that many people do not feel like it is safe to go back yet do you know what would make them feel safe if all of their coworkers were vaccinated if employers want to have workers to hire and we all want our economy to get back to a good place businesses are going to have to require their employees to be vaccinated i for one am way more likely to go into a place where i feel that my health is not at risk are not you,vaccination,"[{'label': 'curiosity', 'score': 0.7159519791603088}]",curiosity,0
179,i have not eaten out in a restaurant at all since this started and i will not until there is an effective vaccine for those who say that could be a year or two away that is fine i will wait a meal eaten at a restaurant is not worth risking my life over nor is it worth risking the lives of my nearest dearest i have the patience to wait this out and it is too bad so much of this country is afflicted with a ridiculously short attention span and the entitlement virus let me put it this way: if world war ii happened now we would not stand a chance b/c everyone would be so lazy so outofshape and so selfish totally unwilling to do without it would end up being easier to learn how to order from mickey ds in russian or german,vaccination,"[{'label': 'realization', 'score': 0.7347297668457031}]",realization,1
180,just require proof of vaccination to go back to the office and most people will lose their hesitancy pretty quickly working from home is getting old now for all but a few people i know employees who do not like it can continue to work from home (if it makes sense for the business) or quit and find a different job,vaccination,"[{'label': 'realization', 'score': 0.5158898830413818}]",realization,0
181,it seems like we do not have many outspoken advocates for covid vaccination except the government officials how about changing the profile picture to i got my covid vaccine how about facebook and twitter issue a vaccinated verification mark,vaccination,"[{'label': 'curiosity', 'score': 0.894726037979126}]",curiosity,0
182,in california we let down our guard for a week of indoor dining (no bars) and wham cases began to surge we are back to outdoor dining only (with masks and distancing) which is really enjoyable in in some ways very creative i do wonder what the winter will hold with rain wind and cold fronts i remember visiting oslo where all the outdoor diners (who were also smokers) were provided with fur wraps at their seats an idea well no fur in california but perhaps fake,masking and distancing,"[{'label': 'joy', 'score': 0.5515036582946777}]",joy,0
183,how about companies can put a big sign out front if their employees are all vaccinated it can be a reassurance for those because of chemo or other immunocompromising situations can safely enter,vaccination,"[{'label': 'neutral', 'score': 0.9813915491104126}]",neutral,0
184,to all those who gloat elections have consequences lets administer vaccines (or not) have consequences,vaccination,"[{'label': 'neutral', 'score': 0.9946501851081848}]",neutral,0
185,the only difference between the complete us failure to deal with the pandemic and the success of other countries is trump and the toady republicans who do not have either the sense or backbone to act responsibly this is an observable fact not a partisan opinion would anyone like to try to prove otherwiseprove using facts not generic attacks,,"[{'label': 'neutral', 'score': 0.9824115633964539}]",neutral,0
186,sigh i have been enjoying maskfree grocery shopping but that brief respite is over masking up again does not seem like there is much choice in the matter if you care about other peoples health,masking and distancing,"[{'label': 'joy', 'score': 0.9575528502464294}]",joy,0
187,"more halftruths that lack perspective the author would have your believe that in spite of a mountain of evidence collected around the world from countries with far better contact tracking programs americas problem with covid is due to bar and restaurants reopenings simplistic childish and inaccurate as her own opening paragraphs show: in louisiana roughly a quarter of the states
in maryland percent of new cases last month
and in colorado percent where are the real focal points and clusters swimming pools money toilet plumes schools the answers are known but they are not exciting or fearinducing so they go unmentioned in the meantime just stay away from bars restaurants water (of all kindsthe virus monsters are very afraid of water in any form) cash toilets and schools that should just about take care of the virus ohwaitthe us average death rate per from covid is about to overtake swedens what is the nyt going to say then",lockdown,"[{'label': 'curiosity', 'score': 0.4418126344680786}]",curiosity,1
188,i have a company and we are not hiring or keeping anyone employed that will not get vaccinated soon outbreaks will be able to be traced back to their point of origin and those businesses that allowed the the infected in are going to get sued to oblivion as they should,vaccination,"[{'label': 'neutral', 'score': 0.7777585387229919}]",neutral,0
189,with all these variants popping up why is international travel still allowed in the united states we have the advantage of being oceans away from the uk and india yet the variants that emerged in those places still made it all the way over here why,lockdown,"[{'label': 'curiosity', 'score': 0.9773683547973633}]",curiosity,0
190,the strategy of dangling maskless faces in front of the unvaccinated didnt work and no one who actually interacts with people who dont want to get vaccinated thought that it would all that happened is the unvaccinated who were grudgingly at least wearing masks much of the time just stopped wearing a mask now were all living a surreal version of invasion of the body snatchers where the unvaccinated and possibly infected look just like the vaccinated now even if the cdc tries to walk it back they will never again get the amount of grudging compliance they got before this was entirely predictable and preventable,vaccination,"[{'label': 'realization', 'score': 0.9025517106056213}]",realization,1
191,i have not eaten outside my house since march i miss our favorite places i dont want to sit down for a dinnerlength time anywhere because i am scared to i know that chez moi i can eat and not risk anything for me its a bit sad to know i wont patronize places we used to go to but no no yet,lockdown,"[{'label': 'fear', 'score': 0.8553513884544373}]",fear,0
192,i do not get this rush to separate vaxed from nonvaxed i got my second pfizer dose in february and have three months left on my excelsior pass who knows how available boosters are going to be in late august i would much rather be exposed a bit now to give myself an update sure i will keep masking but at this point variolation could actually help me,vaccination,"[{'label': 'confusion', 'score': 0.7817838788032532}]",confusion,0
193,republicans are mostly hurting themselves when they do not get vaccinated and do not wear masks if the delta variant breaks out in the usa republicans will be the ones hit the hardest,vaccination,"[{'label': 'sadness', 'score': 0.8652790784835815}]",sadness,0
194,i find this kind of article unhelpful have you ever been to india especially in new delhi if the noise crowds incense feci poverty etc...doesnt get you the smells will point im trying to make is how can that area go from thousands of people dying from this variant to now something hospitals can control so you ask yourself why didnt it wipe out more people why dont the doctors know more do we have a new variant every time this virus goes through masses of people that are not vaccinated if so then masks should be worn for the next five years for allergy sufferers and these variants just tell us what to expect,vaccination,"[{'label': 'curiosity', 'score': 0.9108144044876099}]",curiosity,0
195,im not wearing a mask to protect people who oppose vaccines this is natures way of removing people who are a threat to our population,vaccination,"[{'label': 'disapproval', 'score': 0.7105300426483154}]",disapproval,0
196,tx restaurants have been open since like may everyone seems to be handling it the new cases and deaths counts are completely unreliable a positive covid test is not even needed for a doctor to count the death as covid now no one trusts the numbers (except old people who are also easily fooled by phone scams internet scams etc) texas had a huge spike back when reporting rules changed re what could now count as a confirmed case again most people rolled their eyes and went about their business stay home if you are afraid restaurants in dallas are as full as they can be i saw over a dozen super old people back at the y today even they are not buying the hype,lockdown,"[{'label': 'neutral', 'score': 0.9466456770896912}]",neutral,0
197,our love of restaurants is one of the primary reasons why we are so fat now we can add covid to the consequences,lockdown,"[{'label': 'love', 'score': 0.979472815990448}]",love,0
198,i will still wear a good mask in any public store of any type until the pandemic is really actually over covid is not gone and continues to mutate: the risk is obvious,masking and distancing,"[{'label': 'approval', 'score': 0.9742022156715393}]",approval,0
199,have people forgotten the procedure masks and regular fabric masks do little to protect the person waring them n or p masks are % effective in filtering out the vapor particles on the inhale,masking and distancing,"[{'label': 'neutral', 'score': 0.9401981830596924}]",neutral,0
200,if you do not want to get a covid vaccine shot for whatever reason fine but do not expect everyone else to treat you as if you have had one and just because you do not want to get a covid vaccine shot do not expect those of us who have to stay in lockdown mode just because you do not think it is fair that those who have had a shot to be able to start enjoying things again actions (or inactions) have consequences,vaccination,"[{'label': 'approval', 'score': 0.4839399456977844}]",approval,0
201,there are only two things cdc has done about this pandemicactually done pretty much on its own not had shoved on them by moronsthat annoy me are a) foul up the initial tests and testings and b) issue that advisory about not bothering to mask up any more myself i got vaccinated months ago and im going to be avoiding crowds and air travel for a while yet and doing the twomask thing while shopping for a while yet and washing my hands a bunch eased up on some other things like wearing a mask outdoors but i dont see what the big deal is here,vaccination,"[{'label': 'realization', 'score': 0.5334943532943726}]",realization,0
202,healthcare systems require all their employees even those who do not interact with patients to get vaccinated with the flu shot this has been going on for awhile exceptions are for religious or medical reasons now that the covid vaccines are most likely going to come off emergency fda request i think more companies may require it or they may influence employees to get it,vaccination,"[{'label': 'neutral', 'score': 0.9853851199150085}]",neutral,0
203,the cdc guidance now puts the onus on each and every individual there will be blood,,"[{'label': 'neutral', 'score': 0.9953006505966187}]",neutral,0
204,if an employer offers health insurance to it employees they can treat vaccination the same as nonsmoking and offer discounts for getting vaccinated the unvaccinated are likely to cost more so it is fair to charge them more just as they do for smokers,vaccination,"[{'label': 'approval', 'score': 0.9622052311897278}]",approval,0
205,more people die each day in us from the virus than taiwan has new cases but we tell people to take off their masks the cannot dowill not do nation,masking and distancing,"[{'label': 'sadness', 'score': 0.7178523540496826}]",sadness,0
206,companies who no longer have any loyalty to their employees have no business directing their employees health care decisions my health care is not a collaborative exercise for managers who have no real concern for me or my family,,"[{'label': 'disapproval', 'score': 0.553336501121521}]",disapproval,0
207,i certainly will not work anywhere that does not require a vaccinated workforce no job is worth more than my health,vaccination,"[{'label': 'disapproval', 'score': 0.35140594840049744}]",disapproval,0
208,and we are opening schools,lockdown,"[{'label': 'curiosity', 'score': 0.8288796544075012}]",curiosity,0
209,antivaccine go live under a rock and disappear from society individuality does not include microbe rights to distribute unguarded,vaccination,"[{'label': 'neutral', 'score': 0.9798746705055237}]",neutral,0
210,they should all be togo only for the rest of the year,,"[{'label': 'neutral', 'score': 0.9887340068817139}]",neutral,0
211,science vs quackery and conspiracy theories where will the people with the power to make policy whether in the private or public arenas choose to stand,lockdown,"[{'label': 'curiosity', 'score': 0.6624397039413452}]",curiosity,0
